Transaction_ID,Date,itemDescription
1020_2014-07-19,2014-07-19,"['frozen meals', 'butter', 'newspapers', 'yogurt']"
1025_2014-06-02,2014-06-02,"['coffee', 'shopping bags']"
1035_2014-08-15,2014-08-15,"['pip fruit', 'white wine', 'white bread', 'salt']"
1108_2014-06-25,2014-06-25,"['frozen potato products', 'specialty cheese']"
1190_2014-05-18,2014-05-18,"['pip fruit', 'rolls/buns', 'soda']"
1219_2014-03-07,2014-03-07,"['red/blush wine', 'instant coffee']"
1289_2014-09-08,2014-09-08,"['root vegetables', 'spread cheese']"
1294_2014-07-10,2014-07-10,"['waffles', 'butter milk', 'domestic eggs']"
1356_2014-08-17,2014-08-17,"['napkins', 'butter milk', 'cat food', 'shopping bags']"
1416_2014-08-15,2014-08-15,"['cream cheese ', 'fruit/vegetable juice']"
1419_2014-12-03,2014-12-03,"['butter', 'chewing gum', 'coffee', 'salty snack']"
1427_2014-04-02,2014-04-02,"['whole milk', 'red/blush wine']"
1430_2014-12-01,2014-12-01,"['soda', 'canned beer', 'soft cheese', 'waffles']"
1434_2014-11-13,2014-11-13,"['domestic eggs', 'margarine', 'canned beer', 'candles']"
1547_2014-09-03,2014-09-03,"['whole milk', 'long life bakery product']"
1572_2014-03-31,2014-03-31,"['bottled beer', 'frozen dessert', 'rolls/buns', 'berries', 'rice', 'white bread']"
1663_2014-02-24,2014-02-24,"['yogurt', 'soft cheese', 'herbs', 'rolls/buns']"
1732_2014-03-04,2014-03-04,"['citrus fruit', 'canned beer', 'flour']"
1748_2014-08-14,2014-08-14,"['kitchen utensil', 'bottled water', 'rolls/buns', 'pasta', 'bottled water']"
1751_2014-04-09,2014-04-09,"['whipped/sour cream', 'herbs', 'flour', 'oil']"
1794_2014-04-14,2014-04-14,"['citrus fruit', 'yogurt', 'soda']"
1833_2014-10-20,2014-10-20,"['other vegetables', 'margarine']"
1883_2014-08-06,2014-08-06,"['pork', 'butter']"
1896_2014-07-25,2014-07-25,"['brown bread', 'sugar', 'beef', 'citrus fruit', 'yogurt']"
1935_2014-06-30,2014-06-30,"['mayonnaise', 'frozen vegetables', 'processed cheese']"
1958_2014-06-16,2014-06-16,"['other vegetables', 'whole milk', 'artif. sweetener']"
1975_2014-09-01,2014-09-01,"['rolls/buns', 'soups']"
2005_2014-10-18,2014-10-18,"['mustard', 'yogurt', 'cat food', 'bottled beer']"
2097_2014-09-28,2014-09-28,"['rolls/buns', 'processed cheese']"
2110_2014-11-22,2014-11-22,"['whole milk', 'newspapers']"
2125_2014-02-04,2014-02-04,"['yogurt', 'chewing gum', 'soda', 'oil']"
2147_2014-04-24,2014-04-24,"['tropical fruit', 'popcorn']"
2155_2014-03-06,2014-03-06,"['pip fruit', 'soda']"
2185_2014-01-04,2014-01-04,"['rolls/buns', 'flour']"
2298_2014-12-04,2014-12-04,"['domestic eggs', 'roll products ', 'oil']"
2322_2014-01-19,2014-01-19,"['sweet spreads', 'newspapers']"
2325_2014-02-27,2014-02-27,"['fruit/vegetable juice', 'pastry']"
2325_2014-06-11,2014-06-11,"['pastry', 'chocolate', 'flour']"
2330_2014-05-11,2014-05-11,"['sausage', 'processed cheese']"
2332_2014-01-16,2014-01-16,"['rolls/buns', 'soft cheese']"
2337_2014-02-25,2014-02-25,"['root vegetables', 'coffee']"
2357_2014-05-06,2014-05-06,"['pip fruit', 'frozen vegetables', 'whipped/sour cream', 'whipped/sour cream']"
2402_2014-09-29,2014-09-29,"['cream cheese ', 'chocolate marshmallow', 'spread cheese', 'pastry']"
2408_2014-05-28,2014-05-28,"['other vegetables', 'rolls/buns']"
2424_2014-09-28,2014-09-28,"['butter milk', 'pickled vegetables']"
2492_2014-10-03,2014-10-03,"['instant coffee', 'candles']"
2545_2014-03-08,2014-03-08,"['pastry', 'processed cheese']"
2652_2014-04-09,2014-04-09,"['ham', 'waffles', 'seasonal products']"
2696_2014-12-23,2014-12-23,"['whole milk', 'seasonal products']"
2760_2014-01-04,2014-01-04,"['whole milk', 'domestic eggs', 'rolls/buns', 'long life bakery product']"
2764_2014-04-18,2014-04-18,"['whipped/sour cream', 'yogurt', 'candy']"
2830_2014-07-19,2014-07-19,"['hamburger meat', 'rolls/buns']"
2855_2014-06-13,2014-06-13,"['whole milk', 'cat food', 'processed cheese', 'rolls/buns']"
2858_2014-08-24,2014-08-24,"['grapes', 'packaged fruit/vegetables', 'detergent']"
2860_2014-11-01,2014-11-01,"['tropical fruit', 'yogurt', 'bottled water']"
2873_2014-10-23,2014-10-23,"['whole milk', 'detergent', 'soda']"
2879_2014-06-27,2014-06-27,"['dessert', 'herbs', 'detergent', 'artif. sweetener']"
2907_2014-10-15,2014-10-15,"['sausage', 'processed cheese']"
2923_2014-02-11,2014-02-11,"['yogurt', 'specialty bar']"
2929_2014-09-24,2014-09-24,"['yogurt', 'bathroom cleaner']"
2955_2014-07-06,2014-07-06,"['hamburger meat', 'soda', 'pastry', 'newspapers']"
2956_2014-07-22,2014-07-22,"['soda', 'other vegetables', 'frozen vegetables']"
3015_2014-01-31,2014-01-31,"['ham', 'bottled water', 'margarine']"
3026_2014-03-30,2014-03-30,"['whole milk', 'candy', 'semi-finished bread', 'candy']"
3050_2014-03-05,2014-03-05,"['dessert', 'root vegetables']"
3063_2014-08-02,2014-08-02,"['frozen vegetables', 'tropical fruit']"
3107_2014-12-12,2014-12-12,"['citrus fruit', 'waffles']"
3115_2014-07-18,2014-07-18,"['sugar', 'shopping bags']"
3189_2014-04-16,2014-04-16,"['seasonal products', 'pot plants', 'whole milk', 'dental care']"
3304_2014-11-15,2014-11-15,"['bottled beer', 'white bread']"
3314_2014-08-13,2014-08-13,"['long life bakery product', 'ice cream']"
3402_2014-05-17,2014-05-17,"['white bread', 'coffee']"
3462_2014-01-10,2014-01-10,"['citrus fruit', 'other vegetables', 'dessert', 'bottled beer']"
3466_2014-05-31,2014-05-31,"['other vegetables', 'rolls/buns', 'rolls/buns', 'whole milk', 'newspapers']"
3470_2014-11-22,2014-11-22,"['flower (seeds)', 'shopping bags']"
3515_2014-05-31,2014-05-31,"['onions', 'brown bread', 'canned vegetables', 'canned beer']"
3550_2014-04-17,2014-04-17,"['whole milk', 'butter', 'soda', 'fruit/vegetable juice']"
3577_2014-07-02,2014-07-02,"['sugar', 'fruit/vegetable juice']"
3613_2014-10-20,2014-10-20,"['tropical fruit', 'bottled water', 'pastry', 'flour']"
3628_2014-01-08,2014-01-08,"['curd', 'cream cheese ', 'nut snack', 'chocolate marshmallow', 'yogurt', 'female sanitary products']"
