Transaction_ID,Date,itemDescription
3628_2014-01-08,2014-01-08,curd
3628_2014-01-08,2014-01-08,cream cheese 
3628_2014-01-08,2014-01-08,nut snack
3628_2014-01-08,2014-01-08,chocolate marshmallow
3628_2014-01-08,2014-01-08,yogurt
3628_2014-01-08,2014-01-08,female sanitary products
3015_2014-01-31,2014-01-31,ham
3015_2014-01-31,2014-01-31,bottled water
3015_2014-01-31,2014-01-31,margarine
4234_2014-01-22,2014-01-22,other vegetables
4234_2014-01-22,2014-01-22,fruit/vegetable juice
4234_2014-01-22,2014-01-22,oil
4234_2014-01-22,2014-01-22,detergent
2760_2014-01-04,2014-01-04,whole milk
2760_2014-01-04,2014-01-04,domestic eggs
2760_2014-01-04,2014-01-04,rolls/buns
2760_2014-01-04,2014-01-04,long life bakery product
3462_2014-01-10,2014-01-10,citrus fruit
3462_2014-01-10,2014-01-10,other vegetables
3462_2014-01-10,2014-01-10,dessert
3462_2014-01-10,2014-01-10,bottled beer
4924_2014-01-31,2014-01-31,sausage
4924_2014-01-31,2014-01-31,salty snack
2322_2014-01-19,2014-01-19,sweet spreads
2322_2014-01-19,2014-01-19,newspapers
3831_2014-01-03,2014-01-03,soda
3831_2014-01-03,2014-01-03,bottled water
3831_2014-01-03,2014-01-03,whipped/sour cream
2332_2014-01-16,2014-01-16,rolls/buns
2332_2014-01-16,2014-01-16,soft cheese
2185_2014-01-04,2014-01-04,rolls/buns
2185_2014-01-04,2014-01-04,flour
3664_2014-02-13,2014-02-13,pastry
3664_2014-02-13,2014-02-13,napkins
2325_2014-02-27,2014-02-27,fruit/vegetable juice
2325_2014-02-27,2014-02-27,pastry
3926_2014-02-22,2014-02-22,salty snack
3926_2014-02-22,2014-02-22,red/blush wine
4153_2014-02-14,2014-02-14,sausage
4153_2014-02-14,2014-02-14,whole milk
4153_2014-02-14,2014-02-14,long life bakery product
4153_2014-02-14,2014-02-14,UHT-milk
4153_2014-02-14,2014-02-14,flour
4153_2014-02-14,2014-02-14,chocolate
2125_2014-02-04,2014-02-04,yogurt
2125_2014-02-04,2014-02-04,chewing gum
2125_2014-02-04,2014-02-04,soda
2125_2014-02-04,2014-02-04,oil
4763_2014-02-27,2014-02-27,whole milk
4763_2014-02-27,2014-02-27,whole milk
4763_2014-02-27,2014-02-27,pastry
4763_2014-02-27,2014-02-27,pickled vegetables
1663_2014-02-24,2014-02-24,yogurt
1663_2014-02-24,2014-02-24,soft cheese
1663_2014-02-24,2014-02-24,herbs
1663_2014-02-24,2014-02-24,rolls/buns
2923_2014-02-11,2014-02-11,yogurt
2923_2014-02-11,2014-02-11,specialty bar
2337_2014-02-25,2014-02-25,root vegetables
2337_2014-02-25,2014-02-25,coffee
4098_2014-02-16,2014-02-16,other vegetables
4098_2014-02-16,2014-02-16,yogurt
4098_2014-02-16,2014-02-16,bottled water
2155_2014-03-06,2014-03-06,pip fruit
2155_2014-03-06,2014-03-06,soda
4223_2014-03-20,2014-03-20,tropical fruit
4223_2014-03-20,2014-03-20,frozen meals
4334_2014-03-16,2014-03-16,bottled water
4334_2014-03-16,2014-03-16,domestic eggs
4334_2014-03-16,2014-03-16,pickled vegetables
4334_2014-03-16,2014-03-16,margarine
1732_2014-03-04,2014-03-04,citrus fruit
1732_2014-03-04,2014-03-04,canned beer
1732_2014-03-04,2014-03-04,flour
2545_2014-03-08,2014-03-08,pastry
2545_2014-03-08,2014-03-08,processed cheese
3862_2014-03-14,2014-03-14,instant coffee
3862_2014-03-14,2014-03-14,onions
3862_2014-03-14,2014-03-14,processed cheese
3862_2014-03-14,2014-03-14,dental care
1219_2014-03-07,2014-03-07,red/blush wine
1219_2014-03-07,2014-03-07,instant coffee
3026_2014-03-30,2014-03-30,whole milk
3026_2014-03-30,2014-03-30,candy
3026_2014-03-30,2014-03-30,semi-finished bread
3026_2014-03-30,2014-03-30,candy
3050_2014-03-05,2014-03-05,dessert
3050_2014-03-05,2014-03-05,root vegetables
1572_2014-03-31,2014-03-31,bottled beer
1572_2014-03-31,2014-03-31,frozen dessert
1572_2014-03-31,2014-03-31,rolls/buns
1572_2014-03-31,2014-03-31,berries
1572_2014-03-31,2014-03-31,rice
1572_2014-03-31,2014-03-31,white bread
2652_2014-04-09,2014-04-09,ham
2652_2014-04-09,2014-04-09,waffles
2652_2014-04-09,2014-04-09,seasonal products
2764_2014-04-18,2014-04-18,whipped/sour cream
2764_2014-04-18,2014-04-18,yogurt
2764_2014-04-18,2014-04-18,candy
2147_2014-04-24,2014-04-24,tropical fruit
2147_2014-04-24,2014-04-24,popcorn
1427_2014-04-02,2014-04-02,whole milk
1427_2014-04-02,2014-04-02,red/blush wine
3189_2014-04-16,2014-04-16,seasonal products
3189_2014-04-16,2014-04-16,pot plants
3189_2014-04-16,2014-04-16,whole milk
3189_2014-04-16,2014-04-16,dental care
1751_2014-04-09,2014-04-09,whipped/sour cream
1751_2014-04-09,2014-04-09,herbs
1751_2014-04-09,2014-04-09,flour
1751_2014-04-09,2014-04-09,oil
1794_2014-04-14,2014-04-14,citrus fruit
1794_2014-04-14,2014-04-14,yogurt
1794_2014-04-14,2014-04-14,soda
3550_2014-04-17,2014-04-17,whole milk
3550_2014-04-17,2014-04-17,butter
3550_2014-04-17,2014-04-17,soda
3550_2014-04-17,2014-04-17,fruit/vegetable juice
4624_2014-04-22,2014-04-22,frozen vegetables
4624_2014-04-22,2014-04-22,yogurt
4624_2014-04-22,2014-04-22,pot plants
3903_2014-04-16,2014-04-16,butter
3903_2014-04-16,2014-04-16,bottled water
2330_2014-05-11,2014-05-11,sausage
2330_2014-05-11,2014-05-11,processed cheese
2357_2014-05-06,2014-05-06,pip fruit
2357_2014-05-06,2014-05-06,frozen vegetables
2357_2014-05-06,2014-05-06,whipped/sour cream
2357_2014-05-06,2014-05-06,whipped/sour cream
3840_2014-05-17,2014-05-17,soda
3840_2014-05-17,2014-05-17,frozen meals
2408_2014-05-28,2014-05-28,other vegetables
2408_2014-05-28,2014-05-28,rolls/buns
3515_2014-05-31,2014-05-31,onions
3515_2014-05-31,2014-05-31,brown bread
3515_2014-05-31,2014-05-31,canned vegetables
3515_2014-05-31,2014-05-31,canned beer
3466_2014-05-31,2014-05-31,other vegetables
3466_2014-05-31,2014-05-31,rolls/buns
3466_2014-05-31,2014-05-31,rolls/buns
3466_2014-05-31,2014-05-31,whole milk
3466_2014-05-31,2014-05-31,newspapers
3402_2014-05-17,2014-05-17,white bread
3402_2014-05-17,2014-05-17,coffee
4817_2014-05-14,2014-05-14,UHT-milk
4817_2014-05-14,2014-05-14,candles
4817_2014-05-14,2014-05-14,yogurt
4817_2014-05-14,2014-05-14,salty snack
4694_2014-05-12,2014-05-12,onions
4694_2014-05-12,2014-05-12,bottled beer
4694_2014-05-12,2014-05-12,yogurt
4694_2014-05-12,2014-05-12,rolls/buns
1190_2014-05-18,2014-05-18,pip fruit
1190_2014-05-18,2014-05-18,rolls/buns
1190_2014-05-18,2014-05-18,soda
3839_2014-06-21,2014-06-21,whole milk
3839_2014-06-21,2014-06-21,pip fruit
3839_2014-06-21,2014-06-21,pasta
3839_2014-06-21,2014-06-21,yogurt
2879_2014-06-27,2014-06-27,dessert
2879_2014-06-27,2014-06-27,herbs
2879_2014-06-27,2014-06-27,detergent
2879_2014-06-27,2014-06-27,artif. sweetener
2855_2014-06-13,2014-06-13,whole milk
2855_2014-06-13,2014-06-13,cat food
2855_2014-06-13,2014-06-13,processed cheese
2855_2014-06-13,2014-06-13,rolls/buns
1958_2014-06-16,2014-06-16,other vegetables
1958_2014-06-16,2014-06-16,whole milk
1958_2014-06-16,2014-06-16,artif. sweetener
4904_2014-06-12,2014-06-12,packaged fruit/vegetables
4904_2014-06-12,2014-06-12,frozen vegetables
1935_2014-06-30,2014-06-30,mayonnaise
1935_2014-06-30,2014-06-30,frozen vegetables
1935_2014-06-30,2014-06-30,processed cheese
1108_2014-06-25,2014-06-25,frozen potato products
1108_2014-06-25,2014-06-25,specialty cheese
1025_2014-06-02,2014-06-02,coffee
1025_2014-06-02,2014-06-02,shopping bags
2325_2014-06-11,2014-06-11,pastry
2325_2014-06-11,2014-06-11,chocolate
2325_2014-06-11,2014-06-11,flour
4213_2014-06-11,2014-06-11,coffee
4213_2014-06-11,2014-06-11,rolls/buns
2955_2014-07-06,2014-07-06,hamburger meat
2955_2014-07-06,2014-07-06,soda
2955_2014-07-06,2014-07-06,pastry
2955_2014-07-06,2014-07-06,newspapers
1896_2014-07-25,2014-07-25,brown bread
1896_2014-07-25,2014-07-25,sugar
1896_2014-07-25,2014-07-25,beef
1896_2014-07-25,2014-07-25,citrus fruit
1896_2014-07-25,2014-07-25,yogurt
2830_2014-07-19,2014-07-19,hamburger meat
2830_2014-07-19,2014-07-19,rolls/buns
3115_2014-07-18,2014-07-18,sugar
3115_2014-07-18,2014-07-18,shopping bags
3957_2014-07-29,2014-07-29,chicken
